gender,state_type,income_bracket,caste_category,language,loan_amount,credit_score,approved
Male,Urban,Low,OBC,Hindi,1997238,614,0
Female,Urban,High,SC,Regional,1445796,775,0
Female,Urban,Low,OBC,Regional,1044620,648,0
Female,Remote,Low,OBC,Hindi,1923410,708,0
Male,Rural,High,General,Hindi,1811663,775,1
Male,Remote,Low,ST,English,88578,719,0
Male,Rural,Medium,General,Hindi,664741,767,1
Female,Remote,Low,General,Hindi,1514110,606,0
Female,Remote,High,General,Regional,912147,635,0
Female,Rural,Low,OBC,English,258859,602,0
Male,Remote,High,General,English,161435,732,0
Female,Urban,Medium,General,Hindi,790389,600,1
Female,Rural,Low,General,English,1250114,640,0
Male,Remote,Medium,General,English,1980750,642,0
Male,Urban,High,OBC,English,95475,701,1
Male,Urban,Medium,OBC,English,896574,631,0
Male,Urban,Low,OBC,English,1839096,667,0
Male,Urban,Medium,OBC,Hindi,1256212,732,0
Male,Rural,Medium,OBC,Hindi,1252060,634,1
Male,Remote,Medium,General,Regional,1192102,625,0
Female,Remote,Medium,OBC,Hindi,1149577,611,0
Male,Urban,Medium,ST,Regional,894081,634,0
Male,Urban,Low,OBC,English,242029,675,0
Male,Urban,Medium,General,English,478733,712,0
Male,Urban,Medium,OBC,Regional,718516,615,0
Female,Rural,Low,OBC,English,990568,689,0
Male,Remote,High,OBC,Hindi,1648575,756,0
Male,Urban,Medium,General,Hindi,1652970,685,1
Female,Urban,Medium,General,Hindi,1950466,637,0
Male,Rural,High,General,English,1581064,618,1
Female,Rural,Medium,ST,Hindi,1491149,659,0
Male,Urban,High,SC,Hindi,267583,676,1
Male,Remote,Medium,General,English,413898,692,0
Female,Urban,Low,General,Hindi,188286,792,0
Female,Urban,Medium,SC,Regional,277189,640,0
Female,Urban,Medium,General,Regional,1225055,716,0
Male,Rural,Medium,General,English,1518919,585,1
Male,Urban,Low,ST,Regional,1234789,688,0
Female,Remote,Low,General,Hindi,603172,614,0
Male,Rural,Low,OBC,Hindi,1363428,618,0
Male,Urban,Low,ST,English,854807,729,0
Male,Remote,Medium,OBC,Regional,1637952,748,0
Male,Remote,Low,General,English,1418335,697,0
Female,Rural,Medium,General,Hindi,1470858,584,0
Male,Remote,Medium,SC,English,1798982,749,0
Female,Remote,Medium,SC,Regional,322158,666,0
Male,Remote,High,SC,Regional,1818361,788,0
Male,Remote,Medium,General,Regional,1495065,655,0
Male,Urban,Medium,SC,Hindi,752495,794,1
Male,Urban,Medium,ST,English,1463562,787,0
Female,Rural,Low,OBC,Hindi,1588814,774,0
Female,Urban,High,ST,Hindi,128077,737,0
Female,Remote,Low,SC,English,1238360,636,0
Female,Urban,Low,OBC,Hindi,1304352,706,0
Female,Urban,Medium,OBC,Regional,365018,793,0
Female,Rural,Low,OBC,Regional,119087,780,0
Male,Remote,High,General,Regional,1897305,608,1
Male,Remote,Medium,OBC,Regional,1863205,744,0
Male,Rural,High,OBC,English,863560,666,1
Male,Urban,Medium,SC,Hindi,1691232,720,0
Male,Urban,Medium,ST,Regional,793859,739,1
Male,Urban,High,SC,English,1439678,625,1
Female,Rural,Low,General,Regional,345064,695,0
Male,Urban,High,General,Hindi,301514,691,1
Male,Urban,Low,General,Hindi,978660,730,0
Male,Urban,Medium,OBC,Hindi,192180,624,1
Male,Rural,Low,SC,Regional,834192,724,0
Female,Rural,Medium,ST,Regional,485928,683,0
Male,Urban,Low,OBC,English,970114,664,0
Female,Rural,High,ST,Regional,651891,773,0
Female,Urban,High,SC,English,1132448,713,0
Male,Rural,High,OBC,Hindi,1371448,687,0
Male,Remote,Low,SC,Hindi,407246,597,0
Female,Rural,Medium,OBC,Hindi,1587111,673,0
Female,Urban,Medium,General,Hindi,1482769,729,0
Female,Urban,Low,OBC,Regional,1905591,612,1
Female,Remote,Low,OBC,Regional,135774,737,0
Male,Remote,Medium,OBC,Hindi,438518,788,0
Male,Urban,Medium,OBC,English,1297098,705,0
Male,Rural,Medium,OBC,Regional,1318933,739,0
Female,Rural,Medium,OBC,Regional,462672,749,0
Female,Rural,Low,OBC,Regional,1976126,785,0
Male,Urban,Low,OBC,English,1164518,701,0
Male,Urban,Low,OBC,English,587977,717,0
Male,Urban,High,OBC,English,1656140,694,0
Male,Urban,Low,General,English,1608141,743,0
Female,Rural,Low,OBC,Hindi,1621128,741,0
Female,Rural,Low,General,Regional,676256,780,0
Female,Urban,High,OBC,Hindi,463089,607,0
Male,Rural,High,SC,English,1898058,590,0
Male,Urban,Medium,OBC,Hindi,640504,785,1
Female,Urban,Medium,OBC,English,1838380,746,0
Female,Rural,Medium,ST,English,396184,626,0
Female,Urban,Low,SC,Hindi,595932,706,0
Female,Rural,High,ST,Hindi,112021,726,0
Male,Urban,Medium,SC,Regional,742485,697,1
Male,Remote,Medium,General,Regional,510115,722,0
Male,Remote,Medium,General,Hindi,92291,705,1
Male,Rural,Medium,OBC,Hindi,478276,735,0
Male,Urban,Medium,General,Regional,444754,731,0
Male,Urban,High,OBC,Hindi,1003680,651,0
Female,Urban,High,OBC,English,353664,686,0
Male,Urban,Medium,OBC,Regional,75675,716,0
Male,Rural,Medium,SC,English,723647,754,0
Female,Rural,Low,SC,Hindi,312318,612,0
Male,Remote,Medium,OBC,Hindi,1190844,769,0
Male,Urban,Low,SC,Hindi,1395718,598,1
Female,Remote,Medium,OBC,Hindi,758672,774,0
Male,Urban,High,SC,Regional,679698,653,0
Male,Remote,Medium,General,English,387369,747,1
Male,Rural,Medium,ST,English,1929822,754,1
Male,Rural,Low,OBC,Regional,1445811,772,0
Female,Rural,Low,OBC,Hindi,362863,736,0
Female,Rural,Medium,General,English,179887,757,0
Female,Urban,Low,OBC,Regional,346063,677,0
Female,Rural,Low,General,Hindi,1433875,720,0
Female,Rural,Medium,General,Regional,383713,708,0
Male,Rural,Medium,OBC,Regional,1926336,741,0
Female,Urban,Medium,OBC,Hindi,1300130,672,0
Male,Rural,Low,OBC,Hindi,1909626,755,0
Female,Rural,Medium,ST,Regional,608963,784,0
Female,Rural,Medium,OBC,English,1593586,627,1
Male,Remote,Medium,OBC,Regional,855351,756,0
Male,Urban,Medium,General,English,840605,643,0
Male,Remote,Low,SC,Hindi,421513,640,0
Male,Urban,Medium,OBC,Hindi,862832,736,0
Female,Rural,Medium,ST,Regional,231517,618,0
Female,Rural,High,SC,Regional,120305,707,0
Male,Remote,Medium,OBC,English,742924,667,0
Male,Remote,Medium,General,English,1537606,605,0
Male,Urban,Medium,SC,Regional,522963,596,0
Male,Rural,Medium,SC,Hindi,1711655,650,1
Male,Urban,High,General,English,1257610,592,0
Male,Remote,Medium,General,Hindi,528108,648,1
Female,Remote,Medium,SC,Hindi,1053346,605,0
Male,Urban,Medium,General,Regional,644821,628,1
Male,Remote,Medium,ST,English,237256,774,0
Female,Urban,Medium,OBC,Hindi,526128,586,0
Male,Rural,High,General,Hindi,1073920,637,1
Female,Urban,Medium,SC,Regional,940023,628,0
Female,Urban,Medium,OBC,Hindi,1764514,682,0
Male,Urban,High,OBC,Hindi,1753924,632,1
